time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-02T21:41:54.437Z,55.3987,-156.9924,38.7,4.9,mww,,,,0.68,ak,ak02271dz3na,2022-08-06T22:13:21.040Z,"133 km SE of Chignik, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2022-05-09T18:08:25.345Z,54.956,-157.5261,27.8,4.5,mb,,,,0.67,ak,ak0225xn3cm6,2022-07-22T18:31:09.040Z,"147 km SE of Perryville, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2022-04-28T03:33:41.887Z,56.3385,-156.4799,52.3,5.4,mww,,,,0.82,ak,ak0225f7eevn,2022-07-05T03:41:33.040Z,"119 km E of Chignik, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2022-04-10T22:29:29.218Z,56.6497,-156.4305,49.7,4.6,mwr,,,,0.73,ak,ak0224lr0ipu,2022-06-20T22:07:44.040Z,"112 km SSE of Ugashik, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2022-02-20T11:47:09.759Z,55.2732,-157.8084,16.5,5.3,ml,,,,0.69,ak,ak0222cj8k1s,2022-05-04T13:38:55.040Z,"110 km SE of Perryville, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2022-02-03T06:24:56.877Z,55.8146,-149.1963,10,4.9,mb,,85,2.67,0.47,us,us7000ghjy,2022-04-15T17:57:15.040Z,"275 km SE of Chiniak, Alaska",earthquake,6.6,1.9,0.027,420,reviewed,us,us
2022-01-11T05:25:16.774Z,58.6643,-152.5048,2.2,4.6,ml,,,,1.29,ak,ak022ia1dkp,2022-03-19T22:07:40.040Z,"71 km NNE of Aleneva, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-12-30T13:24:36.748Z,57.2635,-155.0039,58.6,5,ml,,,,0.66,ak,ak021gq7i6k6,2022-08-04T13:34:51.760Z,"47 km SW of Karluk, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-12-12T09:55:29.206Z,55.4154,-157.4819,7.4,4.8,ml,,,,0.54,ak,ak021fwdmtpb,2022-02-24T21:00:13.040Z,"113 km SSE of Chignik, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2021-11-15T09:19:13.805Z,55.8034,-155.5144,8.5,4.5,ml,,,,0.57,ak,ak021enpwpl8,2022-01-22T20:51:53.040Z,"151 km SSW of Akhiok, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-10-31T16:37:46.017Z,54.9056,-158.7149,25,5.6,mww,,54,0.511,0.75,us,us7000fqai,2022-01-14T17:58:47.040Z,"115 km SSE of Perryville, Alaska",earthquake,1.9,1.8,0.034,82,reviewed,us,us
2021-10-28T19:06:56.407Z,55.0732,-158.8373,28.04,5.1,mww,,63,0.497,1.13,us,us7000fphz,2022-01-08T17:43:33.040Z,"95 km SSE of Perryville, Alaska",earthquake,3.4,3.9,0.044,49,reviewed,us,us
2021-10-11T09:10:25.147Z,56.2954,-156.581,51.6,6.9,mww,,,,0.65,ak,ak021d1u1nos,2022-01-08T01:04:01.684Z,"112 km E of Chignik, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2021-10-01T14:12:52.596Z,55.8999,-156.3121,44.9,4.8,ml,,,,0.69,ak,ak021cldnudg,2021-12-10T21:14:01.040Z,"137 km ESE of Chignik, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2021-09-16T23:05:07.936Z,54.942,-156.3037,33,5.1,mww,,,,0.78,ak,ak021bwpwxny,2021-12-21T07:49:58.234Z,"200 km SE of Chignik, Alaska",earthquake,,1.7,,,reviewed,ak,ak
