time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-08T01:11:05.860Z,35.6626667,-117.4541667,8.25,2.74,ml,47,34,0.02495,0.14,ci,ci38941448,2021-08-18T22:06:27.200Z,"12km SSW of Searles Valley, CA",earthquake,0.13,0.25,0.139,22,reviewed,ci,ci
2019-08-07T22:16:39.060Z,35.7138333,-117.5668333,7.58,2.53,ml,48,53,0.09161,0.14,ci,ci38940832,2021-09-16T21:00:10.470Z,"14km NE of Ridgecrest, CA",earthquake,0.14,0.48,0.143,23,reviewed,ci,ci
2019-08-07T04:51:39.390Z,35.6513333,-117.4993333,10.43,3.27,ml,71,32,0.05188,0.14,ci,ci38702143,2021-10-06T20:15:17.650Z,"16km SW of Searles Valley, CA",earthquake,0.1,0.17,0.146,40,reviewed,ci,ci
2019-08-06T21:32:22.850Z,35.6011667,-117.4085,7.55,2.59,ml,51,26,0.02233,0.17,ci,ci38700919,2021-08-19T18:14:31.943Z,"18km S of Trona, CA",earthquake,0.15,0.26,0.113,26,reviewed,ci,ci
2019-08-06T17:33:32.690Z,35.6766667,-117.5383333,8.44,2.77,ml,46,39,0.05842,0.13,ci,ci38700151,2022-08-08T15:29:40.815Z,"14km ENE of Ridgecrest, CA",earthquake,0.12,0.31,0.176,154,reviewed,ci,ci
2019-08-06T10:42:12.080Z,35.5513333,-117.3536667,9.37,2.79,ml,58,43,0.02778,0.14,ci,ci38698999,2021-08-18T21:48:33.160Z,"24km S of Trona, CA",earthquake,0.13,0.21,0.19,22,reviewed,ci,ci
2019-08-05T20:19:08.860Z,35.7251667,-117.5393333,2.62,2.58,ml,51,51,0.09405,0.17,ci,ci38696735,2021-08-19T18:41:47.240Z,"13km WSW of Searles Valley, CA",earthquake,0.13,0.28,0.111,23,reviewed,ci,ci
2019-08-05T17:49:53.210Z,35.6743333,-117.5523333,8.09,2.56,ml,47,38,0.05394,0.14,ci,ci38696255,2021-08-19T19:22:12.800Z,"13km ENE of Ridgecrest, CA",earthquake,0.13,0.37,0.084,24,reviewed,ci,ci
2019-08-05T05:53:54.330Z,35.6281667,-117.4335,3.77,2.67,ml,49,34,0.03773,0.14,ci,ci38694271,2021-08-18T22:30:38.200Z,"16km S of Searles Valley, CA",earthquake,0.12,0.25,0.134,22,reviewed,ci,ci
2019-08-04T22:45:11.740Z,35.6321667,-117.4355,3.63,2.6,ml,53,55,0.03426,0.16,ci,ci38693263,2021-08-19T19:10:05.480Z,"15km S of Searles Valley, CA",earthquake,0.13,0.26,0.127,23,reviewed,ci,ci
2019-08-04T21:38:30.740Z,35.6328333,-117.4335,3.25,2.68,ml,52,56,0.03319,0.15,ci,ci38693087,2021-08-18T22:41:50.500Z,"15km S of Searles Valley, CA",earthquake,0.12,0.15,0.156,23,reviewed,ci,ci
2019-08-04T13:18:46.060Z,35.5338333,-117.3561667,8.54,2.62,ml,52,50,0.01118,0.15,ci,ci38691703,2021-08-19T18:03:25.604Z,"26km S of Trona, CA",earthquake,0.15,0.25,0.101,24,reviewed,ci,ci
2019-08-04T08:17:38.270Z,35.725,-117.4781667,6.44,2.67,ml,54,64,0.07441,0.16,ci,ci38691047,2021-08-19T15:03:16.600Z,"8km SW of Searles Valley, CA",earthquake,0.13,0.4,0.167,25,reviewed,ci,ci
2019-08-04T05:45:10.240Z,35.5735,-117.3545,2.59,2.51,ml,53,39,0.03513,0.18,ci,ci38690663,2021-08-19T20:45:55.590Z,"21km S of Trona, CA",earthquake,0.15,0.19,0.124,25,reviewed,ci,ci
2019-08-03T19:18:02.400Z,35.6675,-117.4965,4.17,2.57,ml,52,33,0.02681,0.14,ci,ci38688943,2021-08-18T19:04:07.670Z,"14km SW of Searles Valley, CA",earthquake,0.12,0.26,0.163,24,reviewed,ci,ci
2019-08-03T18:47:58.570Z,35.661,-117.4883333,4.43,2.7,ml,52,28,0.01777,0.14,ci,ci38688807,2021-08-18T18:13:33.460Z,"14km SSW of Searles Valley, CA",earthquake,0.12,0.23,0.148,24,reviewed,ci,ci
2019-08-03T01:01:23.260Z,35.6346667,-117.4396667,3.03,2.66,ml,44,55,0.03273,0.13,ci,ci38686287,2021-08-18T18:47:53.870Z,"15km SSW of Searles Valley, CA",earthquake,0.12,0.14,0.154,23,reviewed,ci,ci
2019-08-02T19:54:24.610Z,35.7118333,-117.507,4.67,2.55,ml,46,61,0.07038,0.15,ci,ci38685351,2021-08-18T21:27:19.580Z,"11km WSW of Searles Valley, CA",earthquake,0.14,0.37,0.173,24,reviewed,ci,ci
2019-08-02T15:19:16.430Z,35.6191667,-117.4496667,3.28,3.34,ml,63,29,0.03416,0.14,ci,ci38684415,2021-10-06T19:02:08.310Z,"17km SSW of Searles Valley, CA",earthquake,0.1,0.13,0.135,113,reviewed,ci,ci
2019-08-02T13:20:26.260Z,35.7111667,-117.5073333,7.97,2.79,ml,54,44,0.06985,0.14,ci,ci38684079,2021-08-18T17:14:08.150Z,"11km SW of Searles Valley, CA",earthquake,0.12,0.36,0.165,25,reviewed,ci,ci
2019-08-01T23:37:25.140Z,35.6745,-117.5198333,9.2,2.62,ml,52,37,0.04495,0.15,ci,ci38682079,2021-08-18T18:28:40.410Z,"15km SW of Searles Valley, CA",earthquake,0.13,0.27,0.1,25,reviewed,ci,ci
2019-08-01T18:30:28.810Z,35.7126667,-117.4991667,6.51,2.5,ml,48,62,0.06928,0.14,ci,ci38681263,2021-08-18T21:09:13.450Z,"10km SW of Searles Valley, CA",earthquake,0.12,0.37,0.129,24,reviewed,ci,ci
